#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,CP,Over
616,Shelmet,Bug,None,305,50,40,85,40,65,25,5,False,443.4241762,0
617,Accelgor,Bug,None,495,80,70,40,100,60,145,5,False,614.4153725,0
618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,False,897.4566062,0
619,Mienfoo,Fighting,None,350,45,85,50,55,50,65,5,False,624.4997998,0
620,Mienshao,Fighting,None,510,65,125,60,95,60,105,5,False,1084.435337,0
621,Druddigon,Dragon,None,485,77,120,90,60,90,48,5,False,1326.851537,1
622,Golett,Ground,Ghost,303,59,74,50,35,50,35,5,False,617.2520555,0
623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,False,1381.634829,1
624,Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,False,714.1428429,0
625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,False,1342.832827,1
626,Bouffalant,Normal,None,490,95,110,95,40,95,55,5,False,1375,1
627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,False,728.4373686,0
628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,False,1403.942307,1
629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,False,612.249949,0
630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,False,979.7958971,0
631,Heatmor,Fire,None,484,85,97,66,105,66,65,5,False,1008,0
632,Durant,Bug,Steel,484,58,109,112,48,48,109,5,False,1193.946799,0
633,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,False,527.9393905,0
634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,False,859.9418585,0
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,False,1271.943395,1
636,Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,False,700,0
637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,False,670.8203932,0
638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,True,1297.249398,1
639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,True,1519.182938,1
640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,True,1008.328072,0
641,TornadusIncarnate Forme,Flying,None,580,79,115,70,125,80,111,5,True,1162.028399,0
641,TornadusTherian Forme,Flying,None,580,79,100,80,110,90,121,5,True,1086.734788,0
642,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,True,1162.028399,0
642,ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,True,1072.641599,0
643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,True,1552.5,1
644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,True,2055.889406,1
645,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,True,1462.983253,1
645,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,True,1671.980861,1
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,True,1758.03157,1
646,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,True,2347.386845,1
646,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,True,1636.788013,1
647,KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,False,917.8396919,0
647,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,False,917.8396919,0
648,MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,False,946.3039681,0
648,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,False,1571.37416,1
649,Genesect,Bug,Steel,600,71,120,95,120,95,99,5,False,1313.044173,1
650,Chespin,Grass,None,313,56,61,65,48,45,38,6,False,572.7798879,0
651,Quilladin,Grass,None,405,61,78,95,56,58,57,6,False,850.3272311,0
652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,False,1449.234708,1
653,Fennekin,Fire,None,307,40,45,40,62,60,60,6,False,330,0
654,Braixen,Fire,None,409,59,59,58,90,70,73,6,False,543.8874148,0
655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,False,743.2932127,0
656,Froakie,Water,None,314,41,56,40,62,44,71,6,False,394.0340087,0
657,Frogadier,Water,None,405,54,63,52,83,56,97,6,False,530.342644,0
658,Greninja,Water,Dark,530,72,95,67,103,71,122,6,False,929.0931062,0
659,Bunnelby,Normal,None,237,38,36,38,32,36,57,6,False,270.3,0
660,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,False,681.0080763,0
661,Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,False,383.4449113,0
662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,False,646.0662505,0
663,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,False,858.5427654,0
664,Scatterbug,Bug,None,200,38,35,40,27,25,35,6,False,269.9536997,0
665,Spewpa,Bug,None,213,45,22,60,27,30,29,6,False,248.2035455,0
666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,False,526.4938271,0
667,Litleo,Fire,Normal,369,62,50,58,73,54,72,6,False,487.3266358,0
668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False,778.0336946,0
669,FlabĂ©bĂ©,Fairy,None,303,44,38,39,61,79,42,6,False,299.1567148,0
670,Floette,Fairy,None,371,54,45,47,75,98,52,6,False,392.4385302,0
671,Florges,Fairy,None,552,78,65,68,112,154,75,6,False,702.8627177,0
672,Skiddo,Grass,None,350,66,65,48,62,57,52,6,False,571.4822832,0
673,Gogoat,Grass,None,531,123,100,62,97,81,68,6,False,1185.448649,0
674,Pancham,Fighting,None,348,67,82,62,46,48,43,6,False,770.7686164,0
675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,False,1405.894128,1
676,Furfrou,Normal,None,472,75,80,60,65,90,102,6,False,780.5046444,0
677,Espurr,Psychic,None,355,62,48,54,63,60,68,6,False,459.20907,0
678,MeowsticMale,Psychic,None,466,74,48,76,83,81,104,6,False,566.9649989,0
678,MeowsticFemale,Psychic,None,466,74,48,76,83,81,104,6,False,566.9649989,0
679,Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,False,789.129267,0
680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,False,1381.23586,1
681,AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,False,1152.049804,0
681,AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,False,723.0793525,0
682,Spritzee,Fairy,None,341,78,52,60,63,65,23,6,False,559.5603185,0
683,Aromatisse,Fairy,None,462,101,72,72,99,89,29,6,False,873.9928375,0
684,Swirlix,Fairy,None,341,62,48,66,59,57,49,6,False,497.5404808,0
685,Slurpuff,Fairy,None,480,82,80,86,85,75,72,6,False,940.3080612,0
686,Inkay,Dark,Psychic,288,53,54,53,37,46,45,6,False,469.2,0
687,Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,False,1091.347548,0
688,Binacle,Rock,Water,306,42,52,67,39,56,50,6,False,458.0566122,0
689,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,False,1276.181805,1
690,Skrelp,Poison,Water,320,50,60,60,60,60,30,6,False,523.6590016,0
691,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,False,824.8636251,0
692,Clauncher,Water,None,330,50,53,62,58,63,44,6,False,481.0729674,0
693,Clawitzer,Water,None,500,71,73,88,120,89,59,6,False,828.229147,0
694,Helioptile,Electric,Normal,289,44,38,33,61,43,70,6,False,282.0476555,0
695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,False,502.7832535,0
696,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,False,852.2925319,0
697,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,False,1550.519294,1
698,Amaura,Rock,Ice,362,77,59,50,67,63,46,6,False,572.2454019,0
699,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,False,1008.061427,0
700,Sylveon,Fairy,None,525,95,65,65,110,130,60,6,False,750.4665216,0
701,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,False,978.9184338,0
702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False,560.9136832,0
703,Carbink,Rock,Fairy,500,50,50,150,50,150,50,6,False,673.1502433,0
704,Goomy,Dragon,None,300,45,50,35,55,75,40,6,False,356.0196624,0
705,Sliggoo,Dragon,None,452,68,75,53,83,113,60,6,False,676.139039,0
706,Goodra,Dragon,None,600,90,100,70,110,150,80,6,False,1086.430509,0
707,Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,False,829.9325274,0
708,Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,False,513.8107628,0
709,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,False,1192.424002,0
710,PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,False,597.4264808,0
710,PumpkabooSmall Size,Ghost,Grass,335,44,66,70,44,55,56,6,False,573.6149841,0
710,PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,False,620.3246328,0
710,PumpkabooSuper Size,Ghost,Grass,335,59,66,70,44,55,41,6,False,642.4071139,0
711,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,False,1099.245196,0
711,GourgeistSmall Size,Ghost,Grass,494,55,85,122,58,75,99,6,False,979.2854538,0
711,GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,False,1221.445865,1
711,GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,False,1346.04049,1
712,Bergmite,Ice,None,304,55,69,85,32,35,28,6,False,702.7944223,0
713,Avalugg,Ice,None,514,95,117,184,44,46,28,6,False,1952.975576,1
714,Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,False,235.9819908,0
715,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,False,828.4775193,0
716,Xerneas,Fairy,None,680,126,131,95,131,98,99,6,True,1818.271597,1
717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,True,1818.271597,1
718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,True,1487.372852,1
719,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,True,1190.958123,0
719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True,1577.428683,1
720,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True,1055.121439,0
720,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True,1477.170014,1
721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True,1415.593957,1
